Shipment_ID,Origin,Destination,Distance_km,Shipment_Mode,Carrier,Quantity,Weight_kg,Volume_m3,Shipment_Value_INR,Weather_Conditions,Traffic_Conditions,Planned_Duration_Days,Actual_Duration_Days,Delay_Days,Status
SH1035,Bengaluru,Chennai,1367,Road,Blue Dart,1112,1722.34,5.332,5499626.35,Rainy,Moderate,3,5.64,2.64,Delayed
SH1036,Delhi,Ahmedabad,10241,Air,Gati,2589,27104.22,61.119,297675849.01,Sunny,Low,8,8.12,0.12,On Time
SH1037,Hyderabad,Kolkata,13580,Ocean,Blue Dart,1415,13933.78,28.936,24916956.91,Stormy,Low,27,28.45,1.45,Delayed
SH1038,Hyderabad,Ahmedabad,9977,Ocean,CONCOR,4318,2722.79,8.67,2742650.0,Sunny,Low,19,19.46,0.46,On Time
SH1039,Hyderabad,Delhi,11576,Ocean,Blue Dart,5079,28025.22,65.063,49925154.09,Rainy,Low,23,24.01,1.01,Delayed
SH1040,Kolkata,Bengaluru,10190,Ocean,Blue Dart,3426,29124.8,94.228,43312914.86,Rainy,High,20,21.34,1.34,Delayed
SH1041,Kochi,Mumbai,6719,Air,Gati,7533,54328.34,306.581,805187444.47,Foggy,Moderate,5,7.04,2.04,Delayed
SH1042,Kolkata,Bengaluru,1724,Rail,SCI,1631,2244.75,4.685,6126195.02,Rainy,High,4,7.32,3.32,Delayed
SH1043,Kochi,Delhi,345,Road,Blue Dart,7499,36596.96,74.769,193233258.19,Stormy,Moderate,1,3.04,2.04,Delayed
SH1044,Kochi,Ahmedabad,908,Road,SCI,6039,66437.49,187.252,330292757.48,Stormy,Low,2,3.75,1.75,Delayed
SH1045,Bengaluru,Hyderabad,8544,Ocean,Blue Dart,3469,12452.79,78.933,17165651.44,Sunny,High,17,16.31,-0.69,On Time
SH1046,Mumbai,Kochi,1189,Road,CONCOR,6594,13459.51,84.083,67952552.29,Rainy,Moderate,3,3.36,0.36,On Time
SH1047,Chennai,Kolkata,1531,Road,Blue Dart,4311,24510.06,52.298,93936580.02,Rainy,Moderate,4,6.29,2.29,Delayed
SH1048,Mumbai,Kolkata,1183,Road,SCI,7991,49265.38,185.863,232771340.79,Sunny,Low,3,3.05,0.05,On Time
SH1049,Kochi,Delhi,1418,Road,CONCOR,4238,49545.48,137.368,180119542.95,Stormy,Low,4,6.14,2.14,Delayed
SH1050,Hyderabad,Bengaluru,10376,Ocean,TCI,2443,26344.09,135.055,32595106.44,Sunny,Low,20,20.46,0.46,On Time
SH1051,Chennai,Ahmedabad,8432,Ocean,Gati,1326,15702.43,46.483,27262486.76,Sunny,Moderate,16,17.09,1.09,Delayed
SH1052,Delhi,Bengaluru,8126,Air,CONCOR,1696,17317.97,41.997,142237778.01,Stormy,Low,6,9.4,3.4,Delayed
SH1053,Ahmedabad,Delhi,285,Road,Gati,175,328.52,0.712,1517425.36,Rainy,Moderate,1,2.66,1.66,Delayed
SH1054,Ahmedabad,Bengaluru,11943,Ocean,Blue Dart,6941,13654.15,54.765,17272352.76,Rainy,Moderate,23,22.86,-0.14,On Time
SH1055,Hyderabad,Bengaluru,8622,Air,TCI,7036,10629.34,24.602,89175632.75,Stormy,Low,7,9.75,2.75,Delayed
SH1056,Kochi,Ahmedabad,667,Road,TCI,8245,4625.03,9.414,20097581.8,Rainy,High,1,5.31,4.31,Delayed
SH1057,Bengaluru,Kochi,1035,Road,CONCOR,8965,56815.86,241.931,190075528.67,Rainy,Low,2,3.24,1.24,Delayed
SH1058,Chennai,Ahmedabad,6026,Ocean,CONCOR,3794,18006.9,58.276,25584675.94,Rainy,Low,12,18.27,6.27,Delayed
SH1059,Chennai,Kochi,4604,Air,TCI,285,1481.42,3.109,22127219.87,Sunny,Low,3,3.1,0.1,On Time
SH1060,Kochi,Bengaluru,8468,Air,CONCOR,9114,83217.86,193.603,1146403270.92,Sunny,Low,7,7.06,0.06,On Time
SH1061,Delhi,Mumbai,2663,Rail,CONCOR,7854,31147.75,75.663,89698068.6,Sunny,High,6,8.27,2.27,Delayed
SH1062,Hyderabad,Bengaluru,1262,Road,CONCOR,8439,95428.8,258.126,375116188.39,Sunny,Moderate,3,4.38,1.38,Delayed
SH1063,Kolkata,Bengaluru,4120,Air,SCI,1000,2145.97,9.684,27894304.53,Sunny,Moderate,3,3.64,0.64,On Time
SH1064,Bengaluru,Ahmedabad,10359,Ocean,TCI,7913,49664.49,146.524,67967853.21,Sunny,Moderate,20,27.25,7.25,Delayed
SH1065,Chennai,Bengaluru,1477,Road,Gati,6216,36134.02,75.037,124587029.78,Rainy,Moderate,4,5.68,1.68,Delayed
SH1066,Kolkata,Chennai,555,Road,TCI,3926,33894.12,166.647,154995324.52,Rainy,Moderate,1,3.54,2.54,Delayed
SH1067,Hyderabad,Bengaluru,1845,Road,TCI,9447,95708.92,359.468,370244373.75,Sunny,Moderate,5,6.29,1.29,Delayed
SH1068,Bengaluru,Delhi,10456,Ocean,SCI,8020,40733.1,120.481,70577373.07,Sunny,Low,20,19.85,-0.15,On Time
SH1069,Kolkata,Chennai,4990,Air,TCI,3622,39917.08,144.189,481564336.95,Rainy,Low,4,5.43,1.43,Delayed
SH1070,Kolkata,Delhi,6701,Air,TCI,5232,62595.93,192.149,761648191.89,Sunny,Moderate,5,5.34,0.34,On Time
SH1071,Bengaluru,Delhi,11477,Air,CONCOR,2115,8209.4,20.528,95996918.93,Rainy,Moderate,9,10.27,1.27,Delayed
SH1072,Kolkata,Delhi,12038,Ocean,CONCOR,4923,17789.57,47.388,23185805.13,Sunny,Low,24,24.16,0.16,On Time
SH1073,Ahmedabad,Kolkata,14682,Ocean,SCI,8569,14543.72,33.825,16143206.69,Rainy,Low,29,30.21,1.21,Delayed
SH1074,Hyderabad,Kochi,651,Road,TCI,8406,17841.24,61.051,69613197.04,Sunny,Moderate,1,2.35,1.35,Delayed
SH1075,Delhi,Kolkata,908,Road,TCI,3644,12693.4,44.87,58518909.16,Sunny,Moderate,2,3.36,1.36,Delayed
SH1076,Hyderabad,Delhi,11083,Ocean,CONCOR,5669,66368.65,156.931,70082627.19,Rainy,High,22,24.31,2.31,Delayed
SH1077,Mumbai,Kolkata,2581,Rail,CONCOR,2591,30627.24,91.701,70456088.74,Sunny,Low,6,4.81,-1.19,On Time
SH1078,Delhi,Bengaluru,240,Road,Gati,7234,37329.99,115.176,184997700.65,Sunny,Low,1,1.0,0.0,On Time
SH1079,Chennai,Mumbai,2840,Rail,SCI,8696,61679.73,139.126,167008210.9,Stormy,Moderate,7,9.82,2.82,Delayed
SH1080,Mumbai,Chennai,8490,Air,Gati,4174,20773.58,82.749,217908796.5,Rainy,Low,7,8.41,1.41,Delayed
SH1081,Bengaluru,Delhi,12942,Ocean,TCI,1812,18441.8,41.327,32501792.0,Sunny,Moderate,25,25.49,0.49,On Time
SH1082,Mumbai,Delhi,9760,Ocean,Blue Dart,110,925.83,3.064,1080421.84,Stormy,Moderate,19,22.6,3.6,Delayed
SH1083,Kolkata,Chennai,1156,Road,Blue Dart,379,3199.31,9.623,10463767.47,Foggy,Moderate,3,5.54,2.54,Delayed
SH1084,Bengaluru,Kochi,2023,Rail,Blue Dart,6659,40808.93,179.44,152152788.98,Foggy,Low,5,6.67,1.67,Delayed
SH1085,Hyderabad,Ahmedabad,936,Rail,CONCOR,8057,94002.39,195.637,266014994.22,Stormy,High,3,7.56,4.56,Delayed
SH1086,Mumbai,Kochi,11138,Ocean,TCI,8030,11121.24,28.248,13851452.72,Rainy,Low,22,22.89,0.89,On Time
SH1087,Delhi,Mumbai,1649,Road,TCI,8552,49707.16,100.091,151141158.24,Sunny,Low,4,4.92,0.92,On Time
SH1088,Kochi,Kolkata,5032,Air,SCI,8486,51064.38,144.55,505629726.2,Sunny,Low,4,5.47,1.47,Delayed
SH1089,Mumbai,Chennai,12567,Ocean,Gati,6517,56886.0,159.708,67859489.33,Foggy,Low,25,25.85,0.85,On Time
SH1090,Kolkata,Hyderabad,260,Road,SCI,9180,66723.67,135.119,359771978.76,Rainy,High,1,5.5,4.5,Delayed
SH1091,Bengaluru,Ahmedabad,7564,Ocean,Gati,7324,18530.25,81.57,20691028.02,Stormy,Low,15,17.0,2.0,Delayed
SH1092,Mumbai,Delhi,1976,Road,SCI,7707,49520.18,153.83,281782367.49,Stormy,Moderate,5,8.58,3.58,Delayed
SH1093,Kochi,Kolkata,5218,Ocean,Blue Dart,6931,72182.67,166.576,109024947.79,Rainy,Low,10,11.17,1.17,Delayed
SH1094,Kochi,Kolkata,2425,Rail,Gati,8278,25099.78,64.501,53543579.28,Stormy,Moderate,6,8.49,2.49,Delayed
SH1095,Delhi,Chennai,1512,Road,CONCOR,2433,19639.65,43.868,105013275.73,Rainy,High,4,8.28,4.28,Delayed
SH1096,Ahmedabad,Kolkata,206,Road,SCI,606,6378.88,39.809,33404092.98,Sunny,Low,1,1.26,0.26,On Time
SH1097,Kolkata,Mumbai,1747,Road,Gati,5393,7912.23,29.942,35835959.56,Sunny,Low,4,4.35,0.35,On Time
SH1098,Kochi,Hyderabad,1549,Road,CONCOR,5402,62524.95,231.87,295291233.6,Foggy,Low,4,5.88,1.88,Delayed
SH1099,Chennai,Delhi,600,Road,Gati,9127,40867.56,111.259,129209889.7,Stormy,High,1,6.63,5.63,Delayed
SH1100,Chennai,Hyderabad,1230,Road,SCI,9148,90998.81,324.831,474829017.84,Sunny,Low,3,3.54,0.54,On Time
SH1101,Kolkata,Delhi,3038,Air,SCI,1148,3488.6,19.508,44526734.52,Rainy,Low,2,3.44,1.44,Delayed
SH1102,Kolkata,Bengaluru,1068,Road,CONCOR,4229,21450.91,87.208,121355944.77,Sunny,High,3,4.03,1.03,Delayed
SH1103,Ahmedabad,Chennai,5607,Ocean,TCI,6623,18826.3,103.494,20503214.49,Sunny,Moderate,11,19.11,8.11,Delayed
SH1104,Kolkata,Bengaluru,577,Road,CONCOR,7775,45204.77,300.501,209368194.81,Rainy,Low,1,1.97,0.97,On Time
SH1105,Hyderabad,Kochi,6433,Ocean,CONCOR,3838,8521.04,27.258,13050686.09,Sunny,High,12,11.97,-0.03,On Time
SH1106,Chennai,Bengaluru,301,Road,Blue Dart,828,4989.39,26.72,18380102.68,Foggy,Low,1,2.7,1.7,Delayed
SH1107,Delhi,Kolkata,4001,Ocean,Blue Dart,1999,1762.79,9.931,2280019.57,Sunny,Moderate,10,10.14,0.14,On Time
SH1108,Delhi,Ahmedabad,13078,Ocean,TCI,1945,15207.85,38.281,15003039.73,Foggy,Low,26,27.91,1.91,Delayed
SH1109,Hyderabad,Chennai,12442,Ocean,CONCOR,257,1746.91,4.006,2340766.46,Rainy,Moderate,24,29.07,5.07,Delayed
SH1110,Ahmedabad,Chennai,4266,Air,Gati,3688,21785.38,53.071,307235556.83,Sunny,Low,3,3.35,0.35,On Time
SH1111,Chennai,Kolkata,11946,Air,CONCOR,6286,33388.7,150.908,463540925.05,Sunny,High,9,8.2,-0.8,On Time
SH1112,Kochi,Chennai,3579,Rail,TCI,3503,41538.47,253.224,146103469.09,Rainy,Moderate,8,9.4,1.4,Delayed
SH1113,Chennai,Mumbai,1491,Road,CONCOR,579,4494.74,11.055,15237046.58,Rainy,High,4,6.07,2.07,Delayed
SH1114,Hyderabad,Mumbai,7648,Air,TCI,1696,12412.28,35.183,156870731.89,Sunny,Moderate,6,6.92,0.92,On Time
SH1115,Bengaluru,Ahmedabad,8555,Ocean,TCI,7112,40670.54,174.839,41554605.41,Sunny,Moderate,17,17.25,0.25,On Time
SH1116,Hyderabad,Delhi,9895,Ocean,CONCOR,7165,61819.18,296.545,68050557.4,Sunny,Moderate,19,19.81,0.81,On Time
SH1117,Kolkata,Hyderabad,819,Road,CONCOR,1006,898.52,1.814,3025402.96,Sunny,Low,2,2.16,0.16,On Time
SH1118,Mumbai,Ahmedabad,14724,Ocean,SCI,5228,21621.94,66.015,21512123.88,Sunny,High,29,30.06,1.06,Delayed
SH1119,Ahmedabad,Kochi,13110,Ocean,TCI,6344,5358.75,20.788,8316419.75,Sunny,Moderate,26,26.57,0.57,On Time
SH1120,Mumbai,Ahmedabad,2181,Rail,SCI,9760,24763.29,63.104,85846949.16,Foggy,Moderate,5,7.64,2.64,Delayed
SH1121,Kolkata,Chennai,1013,Road,TCI,3122,9304.38,24.446,38033342.13,Rainy,Low,2,4.08,2.08,Delayed
SH1122,Delhi,Kochi,11848,Ocean,Blue Dart,6974,66235.1,190.082,104671149.23,Stormy,Moderate,23,26.31,3.31,Delayed
SH1123,Mumbai,Ahmedabad,9450,Ocean,Blue Dart,1417,5546.13,14.704,6854134.62,Rainy,Moderate,18,19.11,1.11,Delayed
SH1124,Bengaluru,Delhi,12927,Ocean,Blue Dart,6109,4084.91,11.492,4499503.23,Rainy,Moderate,25,24.89,-0.11,On Time
SH1125,Kolkata,Ahmedabad,14582,Ocean,Gati,6620,4698.05,21.499,4539970.48,Rainy,High,29,29.93,0.93,On Time
SH1126,Ahmedabad,Chennai,669,Road,CONCOR,6062,46068.44,138.311,222163014.42,Foggy,Moderate,1,2.48,1.48,Delayed
SH1127,Bengaluru,Chennai,549,Road,CONCOR,1336,11132.69,52.143,49395038.35,Rainy,Low,1,3.05,2.05,Delayed
SH1128,Delhi,Hyderabad,5798,Ocean,Blue Dart,5341,5336.96,14.362,9388672.01,Rainy,High,11,12.33,1.33,Delayed
SH1129,Delhi,Mumbai,783,Road,Blue Dart,3275,11265.73,44.055,56182289.47,Stormy,Moderate,2,4.48,2.48,Delayed
SH1130,Delhi,Mumbai,13776,Ocean,CONCOR,3229,33653.18,149.001,35012771.19,Sunny,Moderate,27,26.43,-0.57,On Time
SH1131,Hyderabad,Bengaluru,11421,Ocean,Blue Dart,819,2995.26,8.344,4575874.61,Sunny,Moderate,22,21.83,-0.17,On Time
SH1132,Chennai,Ahmedabad,6349,Ocean,CONCOR,5749,50763.07,144.035,60423031.59,Sunny,Low,12,11.91,-0.09,On Time
SH1133,Chennai,Kochi,4707,Ocean,SCI,6754,67988.64,176.887,69262920.27,Rainy,Low,10,11.19,1.19,Delayed
SH1134,Kolkata,Bengaluru,12533,Ocean,Gati,5341,43321.66,125.488,68177301.1,Sunny,Low,25,24.6,-0.4,On Time
SH1135,Kochi,Mumbai,3632,Air,TCI,3769,36362.09,76.63,350621210.9,Sunny,Low,3,3.71,0.71,On Time
SH1136,Kochi,Chennai,4285,Ocean,SCI,4087,14124.85,33.175,23819248.8,Rainy,Moderate,10,14.51,4.51,Delayed
SH1137,Mumbai,Bengaluru,6496,Ocean,CONCOR,5349,19880.04,41.431,33668897.45,Sunny,Moderate,12,11.61,-0.39,On Time
SH1138,Kolkata,Bengaluru,8107,Ocean,Blue Dart,8835,68218.8,176.73,96003232.8,Rainy,Low,16,16.19,0.19,On Time
SH1139,Hyderabad,Chennai,9656,Ocean,Gati,9034,54317.61,209.071,79811669.94,Sunny,High,19,18.83,-0.17,On Time
SH1140,Kolkata,Chennai,1101,Road,Blue Dart,5822,27518.53,158.28,85545751.22,Sunny,High,3,4.76,1.76,Delayed
SH1141,Bengaluru,Ahmedabad,9777,Ocean,SCI,5997,61719.08,411.142,60167325.07,Rainy,Low,19,20.73,1.73,Delayed
SH1142,Delhi,Kolkata,10525,Ocean,CONCOR,739,860.55,2.188,1537188.72,Sunny,Low,21,20.89,-0.11,On Time
SH1143,Kochi,Chennai,2595,Rail,Blue Dart,1432,4352.18,20.645,13698550.83,Stormy,Moderate,6,8.66,2.66,Delayed
SH1144,Kochi,Hyderabad,14331,Ocean,SCI,6190,57857.97,376.041,75769023.15,Sunny,Low,28,28.33,0.33,On Time
SH1145,Ahmedabad,Hyderabad,10356,Ocean,Gati,8483,65632.43,298.873,66569530.94,Sunny,Low,20,20.3,0.3,On Time
SH1146,Chennai,Ahmedabad,9887,Ocean,SCI,8011,15723.97,34.739,18310899.79,Rainy,High,19,20.96,1.96,Delayed
SH1147,Mumbai,Delhi,6191,Air,Blue Dart,8666,72911.82,240.505,713274017.34,Stormy,Low,5,10.25,5.25,Delayed
SH1148,Chennai,Ahmedabad,3573,Rail,Blue Dart,128,1373.18,4.462,4866979.55,Sunny,High,8,9.98,1.98,Delayed
SH1149,Chennai,Kolkata,4668,Air,TCI,6470,32074.02,102.906,479221792.99,Foggy,High,3,6.97,3.97,Delayed
SH1150,Delhi,Bengaluru,14229,Ocean,Gati,9815,14232.76,43.113,24410278.75,Stormy,Low,28,33.9,5.9,Delayed
SH1151,Mumbai,Kolkata,10910,Ocean,Gati,2246,4357.66,13.789,4600482.16,Sunny,High,21,21.04,0.04,On Time
SH1152,Kochi,Chennai,3521,Air,Blue Dart,9177,67754.83,369.732,720365970.87,Rainy,Low,2,2.47,0.47,On Time
SH1153,Chennai,Kochi,8341,Air,Blue Dart,4925,54508.2,228.753,724157455.8,Sunny,High,6,5.96,-0.04,On Time
SH1154,Ahmedabad,Kochi,3050,Rail,CONCOR,9610,108400.44,656.531,248066382.41,Sunny,Moderate,7,8.07,1.07,Delayed
SH1155,Kochi,Chennai,3268,Rail,SCI,1426,9049.6,35.608,27047354.07,Rainy,High,8,11.51,3.51,Delayed
SH1156,Ahmedabad,Mumbai,10272,Ocean,TCI,9526,101325.05,409.782,113780053.29,Stormy,Moderate,20,23.86,3.86,Delayed
SH1157,Delhi,Mumbai,6547,Ocean,TCI,2699,27420.72,62.117,26577988.78,Rainy,Moderate,13,15.17,2.17,Delayed
SH1158,Ahmedabad,Kochi,11378,Ocean,SCI,747,3537.46,11.522,5541575.87,Stormy,Moderate,22,25.4,3.4,Delayed
SH1159,Mumbai,Bengaluru,5563,Air,SCI,3636,4529.79,12.832,54042149.42,Rainy,Moderate,4,6.41,2.41,Delayed
SH1160,Ahmedabad,Chennai,1542,Road,CONCOR,713,3097.09,7.292,15245198.41,Stormy,Moderate,4,6.04,2.04,Delayed
SH1161,Delhi,Ahmedabad,6810,Ocean,TCI,9568,114634.17,240.53,171923148.05,Sunny,Moderate,13,12.47,-0.53,On Time
SH1162,Chennai,Ahmedabad,6125,Ocean,TCI,8316,74925.86,155.252,84701176.22,Rainy,High,12,13.91,1.91,Delayed
SH1163,Hyderabad,Delhi,762,Road,SCI,1499,15449.25,67.482,62455017.45,Sunny,Moderate,2,3.99,1.99,Delayed
SH1164,Kochi,Hyderabad,2425,Rail,TCI,7512,46644.29,153.994,152836505.4,Stormy,Low,6,8.82,2.82,Delayed
SH1165,Kochi,Delhi,1125,Road,TCI,4763,17838.16,73.834,65947013.24,Foggy,Low,3,4.02,1.02,Delayed
SH1166,Hyderabad,Ahmedabad,4204,Ocean,TCI,9082,55464.4,342.871,56164840.92,Foggy,Low,10,12.07,2.07,Delayed
SH1167,Delhi,Chennai,1878,Road,SCI,1499,15020.71,35.285,70611927.68,Sunny,High,5,6.75,1.75,Delayed
SH1168,Ahmedabad,Mumbai,4938,Air,CONCOR,6026,68641.65,140.494,637070545.84,Sunny,Moderate,4,4.33,0.33,On Time
SH1169,Mumbai,Delhi,772,Road,Gati,6221,54821.72,315.641,269878627.97,Rainy,Low,2,2.76,0.76,On Time
SH1170,Mumbai,Kolkata,4537,Air,Blue Dart,3187,5169.21,11.444,58004461.31,Rainy,Low,3,4.02,1.02,Delayed
SH1171,Chennai,Ahmedabad,14271,Ocean,SCI,9419,40477.9,97.569,56518649.77,Sunny,High,28,28.59,0.59,On Time
SH1172,Kolkata,Kochi,10823,Ocean,Gati,3917,36734.19,230.296,37276820.16,Sunny,High,21,20.61,-0.39,On Time
SH1173,Kolkata,Ahmedabad,1401,Road,CONCOR,6902,80004.41,361.49,354584070.72,Sunny,Moderate,4,4.86,0.86,On Time
SH1174,Bengaluru,Ahmedabad,2767,Rail,Gati,7021,59698.44,139.599,152489688.0,Stormy,High,6,10.45,4.45,Delayed
SH1175,Kochi,Hyderabad,1487,Rail,CONCOR,8854,49261.17,134.831,105717534.02,Stormy,High,3,7.94,4.94,Delayed
SH1176,Ahmedabad,Hyderabad,1756,Road,SCI,7379,17772.18,38.747,74236588.74,Sunny,Low,5,6.19,1.19,Delayed
SH1177,Mumbai,Hyderabad,1605,Road,SCI,276,732.85,1.627,3824507.42,Rainy,Moderate,4,7.29,3.29,Delayed
SH1178,Ahmedabad,Chennai,14964,Ocean,Gati,9396,99766.28,298.789,116252210.45,Sunny,Low,29,29.53,0.53,On Time
SH1179,Chennai,Ahmedabad,4098,Air,Blue Dart,2376,18154.25,66.419,252164974.93,Sunny,High,3,2.62,-0.38,On Time
SH1180,Kolkata,Bengaluru,1889,Rail,CONCOR,9177,4991.34,12.845,11442559.46,Rainy,High,4,6.36,2.36,Delayed
SH1181,Ahmedabad,Bengaluru,8628,Ocean,CONCOR,9578,38267.78,101.075,66898823.83,Stormy,Moderate,17,22.16,5.16,Delayed
SH1182,Delhi,Chennai,1474,Road,CONCOR,2504,6120.86,21.371,24786280.15,Sunny,Low,4,4.08,0.08,On Time
SH1183,Ahmedabad,Bengaluru,14096,Ocean,Blue Dart,473,4261.21,9.041,5093129.98,Stormy,Low,28,32.84,4.84,Delayed
SH1184,Mumbai,Hyderabad,10230,Air,Blue Dart,1581,12337.37,40.129,117564085.17,Sunny,Low,8,7.74,-0.26,On Time
SH1185,Kolkata,Delhi,1020,Road,CONCOR,90,94.83,0.203,503253.4,Rainy,Moderate,2,3.65,1.65,Delayed
SH1186,Ahmedabad,Hyderabad,631,Road,TCI,5204,18627.36,43.705,85035946.95,Rainy,Low,1,2.98,1.98,Delayed
SH1187,Mumbai,Bengaluru,7577,Air,Blue Dart,7518,63799.1,356.873,917095267.47,Sunny,Low,6,5.66,-0.34,On Time
SH1188,Kolkata,Bengaluru,10986,Air,TCI,3790,29772.21,76.981,265623298.52,Sunny,Moderate,9,8.95,-0.05,On Time
SH1189,Chennai,Ahmedabad,1807,Road,Blue Dart,6766,40147.24,241.884,137000999.7,Sunny,High,5,5.9,0.9,On Time
SH1190,Mumbai,Chennai,8410,Air,SCI,5858,37728.95,248.336,303855677.32,Sunny,Low,7,8.14,1.14,Delayed
SH1191,Mumbai,Kochi,14621,Ocean,Blue Dart,1850,18299.91,73.318,30145330.06,Rainy,High,29,35.86,6.86,Delayed
SH1192,Hyderabad,Kolkata,14366,Ocean,SCI,8260,43172.89,92.316,67340533.79,Rainy,Low,28,29.68,1.68,Delayed
SH1193,Bengaluru,Ahmedabad,8806,Air,TCI,7043,24312.32,63.503,330707956.71,Rainy,Low,7,8.57,1.57,Delayed
SH1194,Mumbai,Delhi,11922,Ocean,Blue Dart,5939,48632.01,125.491,61471481.38,Rainy,Low,23,24.31,1.31,Delayed
